"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat12_001.mat12_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat11_001.mat11_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat9_001.mat9_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat8_001.mat8_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat7_001.mat7_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat6_001.mat6_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat5_001.mat5_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat3_001.mat3_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat30_001.mat30_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat2_001.mat2_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat27_001.mat27_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat26_001.mat26_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat25_001.mat25_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat24_001.mat24_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat23_001.mat23_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat22_001.mat22_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat21_001.mat21_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat20_001.mat20_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat1_001.mat1_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat19_001.mat19_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat18_001.mat18_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat17_001.mat17_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat16_001.mat16_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat13_001.mat13_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat15_001.mat15_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat14_001.mat14_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat29_001.mat29_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat28_001.mat28_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat4_001.mat4_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat6.mat6","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat5.mat5","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat46.mat46","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat7.mat7","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat10_001.mat10_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/Crane/mat0_001.mat0_001","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat9.mat9","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat8.mat8","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat42.mat42","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat41.mat41","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat4.mat4","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat38.mat38","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat36.mat36","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat3.mat3","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat29.mat29","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat35.mat35","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat31.mat31","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat30.mat30","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat26.mat26","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat25.mat25","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat22.mat22","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat28.mat28","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat27.mat27","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat2.mat2","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat18.mat18","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat17.mat17","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat16.mat16","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat15.mat15","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat12.mat12","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat10.mat10","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat1.mat1","0","0","14","1","0.000000","0","0"
"/Game/MyContents/Objects/CalibrationUnit/mat0.mat0","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Materials/red.red","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/FBX/SuperToaki/mat9_004.mat9_004","0","0","14","1","0.000000","0","0"
"/Game/FBX/SuperToaki/mat9_001.mat9_001","0","0","14","1","0.000000","0","0"
